Scope
Manufacturer	Model
www.sknote.it	vst.%00XTR.XTrim Mixing Tools 1_0_1 x64
Note: Will match scope definitions for vst.%00XTR.XTrim Mixing Tools 1_0_1 x64 or vst.%00XTR

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Gain	0	4194304	Value	ValueOutput
Pan	0	4194304	Value	ValueOutput
Width	0	4194304	Value	ValueOutput
Hi-pass	0	4194304	Value	ValueOutput
Lo-pass	0	4194304	Value	ValueOutput
Delay	0	4194304	Value	ValueOutput
Pitch	0	4194304	Value	ValueOutput
L<->R	0	4194304	Value	ValueOutput
Lph	0	4194304	Value	ValueOutput
Rph	0	4194304	Value	ValueOutput
X1	0	4194304	Value	ValueOutput
Power	0	4194304	Value	ValueOutput
DelPit	0	4194304	Value	ValueOutput
DelMode	0	4194304	Value	ValueOutput
PitMode	0	4194304	Value	ValueOutput
MetMode	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
-	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
