Scope
Manufacturer	Model
AirRaid Audio	ch.airraid.ELoFi2

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Envelope Amp	0	4194304	Value	ValueOutput
Envelope Attack	0	4194304	Value	ValueOutput
Envelope Release	0	4194304	Value	ValueOutput
DC Offset Env Mod Enable	0	1	Toggle	ValueOutput
Drive Env Mod Enable	0	1	Toggle	ValueOutput
P1 Env Mod Enable	0	1	Toggle	ValueOutput
P2 Env Mod Enable	0	1	Toggle	ValueOutput
DC Offset	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Distortion Type	0	10	Value	ValueOutput
-- (P1)	0	4194304	Value	ValueOutput
-- (P2)	0	4194304	Value	ValueOutput
Dry/Wet Mix	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
