Scope
Manufacturer	Model
Jiggery Pokery	com.jiggerypokery.Ammo400R

Remotable	Min	Max	Input type	Output type
Osc.A On	0	1	Toggle	ValueOutput
Apply Master Rate to Slaves	0	1	Toggle	ValueOutput
Osc.A Low Rate Hz	0	4194304	Value	ValueOutput
Osc.A High Rate Hz	0	4194304	Value	ValueOutput
Osc.A Rate Tempo Sync	0	30	Value	ValueOutput
Osc.A Range	0	4	Value	ValueOutput
Osc.A Keyboard	0	4194304	Value	ValueOutput
Osc.A Depth	0	4194304	Value	ValueOutput
Osc.A Phase	0	4194304	Value	ValueOutput
Osc.A Env Sync	0	1	Toggle	ValueOutput
Osc.A Oneshot	0	1	Toggle	ValueOutput
Osc.A Waveform	0	135	Value	ValueOutput
Osc.A Rate Semitone	0	72	Value	ValueOutput
Osc.A Cents Detune	0	4194304	Value	ValueOutput
Osc.B On	0	1	Toggle	ValueOutput
Osc.B Low Rate Hz	0	4194304	Value	ValueOutput
Osc.B High Rate Hz	0	4194304	Value	ValueOutput
Osc.B Rate Tempo Sync	0	30	Value	ValueOutput
Osc.B Range	0	4	Value	ValueOutput
Osc.B Keyboard	0	4194304	Value	ValueOutput
Osc.B Depth	0	4194304	Value	ValueOutput
Osc.B Phase	0	4194304	Value	ValueOutput
Osc.B Osc Sync	0	1	Toggle	ValueOutput
Osc.B Env Sync	0	1	Toggle	ValueOutput
Osc.B Oneshot	0	1	Toggle	ValueOutput
Osc.B Waveform	0	135	Value	ValueOutput
Osc.B Rate Semitone	0	72	Value	ValueOutput
Osc.B Cents Detune	0	4194304	Value	ValueOutput
Osc.C On	0	1	Toggle	ValueOutput
Osc.C Low Rate Hz	0	4194304	Value	ValueOutput
Osc.C High Rate Hz	0	4194304	Value	ValueOutput
Osc.C Rate Tempo Sync	0	30	Value	ValueOutput
Osc.C Range	0	4	Value	ValueOutput
Osc.C Keyboard	0	4194304	Value	ValueOutput
Osc.C Depth	0	4194304	Value	ValueOutput
Osc.C Phase	0	4194304	Value	ValueOutput
Osc.C Osc Sync	0	1	Toggle	ValueOutput
Osc.C Env Sync	0	1	Toggle	ValueOutput
Osc.C Oneshot	0	1	Toggle	ValueOutput
Osc.C Waveform	0	135	Value	ValueOutput
Osc.C Rate Semitone	0	72	Value	ValueOutput
