Scope
Manufacturer	Model
PSPaudioware.com	vst.PPNq.PSP NobleQex x64
Note: Will match scope definitions for vst.PPNq.PSP NobleQex x64 or vst.PPNq

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Power	0	4194304	Value	ValueOutput
OUTput	0	4194304	Value	ValueOutput
ValveLevel	0	4194304	Value	ValueOutput
HPF	0	4194304	Value	ValueOutput
HPFfreq	0	4194304	Value	ValueOutput
LAShift	0	4194304	Value	ValueOutput
LF	0	4194304	Value	ValueOutput
LFfreq	0	4194304	Value	ValueOutput
LFboost	0	4194304	Value	ValueOutput
LFatten	0	4194304	Value	ValueOutput
MF	0	4194304	Value	ValueOutput
MFfreq	0	4194304	Value	ValueOutput
MFWidth	0	4194304	Value	ValueOutput
MFgain	0	4194304	Value	ValueOutput
HM	0	4194304	Value	ValueOutput
HMfreq	0	4194304	Value	ValueOutput
HMwidth	0	4194304	Value	ValueOutput
HMgain	0	4194304	Value	ValueOutput
HF	0	4194304	Value	ValueOutput
HFfreq	0	4194304	Value	ValueOutput
HFgain	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
