Scope
Manufacturer	Model
Lostin70s	vst.tdlx.ToneDeluxe_x64_Release
Note: Will match scope definitions for vst.tdlx.ToneDeluxe_x64_Release or vst.tdlx

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
RootUnit.PresetsUnit.Gai	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Gai	0	4194304	Value	ValueOutput
Flavor Drive	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Cle	0	4194304	Value	ValueOutput
Clean Medium	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Cle	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Dri	0	4194304	Value	ValueOutput
Drive Medium	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Dri	0	4194304	Value	ValueOutput
Clean Volume	0	4194304	Value	ValueOutput
channel switch	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.HP	0	4194304	Value	ValueOutput
Drive volume	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.rev	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.rev	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.HQv	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Pre	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Lou	0	4194304	Value	ValueOutput
VectorJoystick X	0	4194304	Value	ValueOutput
VectorJoystick Y	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.B1	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.B2	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.B3	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.Pit	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.MID	0	4194304	Value	ValueOutput
RootUnit.PresetsUnit.MID	0	4194304	Value	ValueOutput
MIDI Mod Wheel	0	4194304	Value	ValueOutput
MIDI Expression	0	4194304	Value	ValueOutput
MIDI Channel Pressure	0	4194304	Value	ValueOutput
MIDI Sustain Pedal	0	4194304	Value	ValueOutput
All Notes Off	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
