Scope
Manufacturer	Model
Dead Duck Software	vst.-S%5E2.DPiano-A
Note: Will match scope definitions for vst.-S%5E2.DPiano-A or vst.-S%5E2

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Hardness	0	4194304	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
VelCurve	0	4194304	Value	ValueOutput
VelHard	0	4194304	Value	ValueOutput
VelTrbl	0	4194304	Value	ValueOutput
Tuning	0	4194304	Value	ValueOutput
Random	0	4194304	Value	ValueOutput
Stretch	0	4194304	Value	ValueOutput
MaxPoly	0	4194304	Value	ValueOutput
Stereo	0	4194304	Value	ValueOutput
Volume	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
