Scope
Manufacturer	Model
Insert Piz Here	vst.mvel.midiVelocityScale
Note: Will match scope definitions for vst.mvel.midiVelocityScale or vst.mvel

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	-	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Velocity 1	0	4194304	Value	ValueOutput
Velocity 2	0	4194304	Value	ValueOutput
Offset	0	4194304	Value	ValueOutput
ReleaseVel1	0	4194304	Value	ValueOutput
ReleaseVel2	0	4194304	Value	ValueOutput
Rel.Offset	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
