Scope
Manufacturer	Model
Nomad Factory	vst.TrBx.BT Analog TrackBox x64
Note: Will match scope definitions for vst.TrBx.BT Analog TrackBox x64 or vst.TrBx

Remotable	Min	Max	Input type	Output type
Proxy Pitch Bend	-8192	8191	Value	ValueOutput
Proxy Mod Wheel	0	127	Value	ValueOutput
Proxy Enabled	0	2	Value	ValueOutput
Proxy Note On Indicator	0	1	-	ValueOutput
Proxy CV Input Indicator	0	1	-	ValueOutput
Proxy Parameter Automation Indicator	0	1	-	ValueOutput
Proxy Input Audio Meter	0	20	-	ValueOutput
Proxy Output Audio Meter	0	20	-	ValueOutput
Proxy Power Button	0	1	-	ValueOutput
Internal Use	0	4194304	Value	ValueOutput
Bypass	0	4194304	Value	ValueOutput
Input Level	0	4194304	Value	ValueOutput
Output Level	0	4194304	Value	ValueOutput
HPF	0	4194304	Value	ValueOutput
LPF	0	4194304	Value	ValueOutput
Phase	0	4194304	Value	ValueOutput
Limit	0	4194304	Value	ValueOutput
Tube Amount	0	4194304	Value	ValueOutput
Tube Color	0	4194304	Value	ValueOutput
Tube Triode	0	4194304	Value	ValueOutput
Tube Insert	0	4194304	Value	ValueOutput
Gate Threshold	0	4194304	Value	ValueOutput
Gate Attack	0	4194304	Value	ValueOutput
Gate Release	0	4194304	Value	ValueOutput
Gate Insert	0	4194304	Value	ValueOutput
Comp Threshold	0	4194304	Value	ValueOutput
Comp Attack	0	4194304	Value	ValueOutput
Comp Release	0	4194304	Value	ValueOutput
Comp Ratio	0	4194304	Value	ValueOutput
Comp MakeUp	0	4194304	Value	ValueOutput
Comp PostEQ	0	4194304	Value	ValueOutput
Comp Insert	0	4194304	Value	ValueOutput
EQ Band 1 Q	0	4194304	Value	ValueOutput
EQ Band 1 Freq	0	4194304	Value	ValueOutput
EQ Band 1 Gain	0	4194304	Value	ValueOutput
EQ Band 2 Q	0	4194304	Value	ValueOutput
EQ Band 2 Freq	0	4194304	Value	ValueOutput
EQ Band 2 Gain	0	4194304	Value	ValueOutput
EQ Band 3 Q	0	4194304	Value	ValueOutput
EQ Band 3 Freq	0	4194304	Value	ValueOutput
EQ Band 3 Gain	0	4194304	Value	ValueOutput
EQ Band 4 Q	0	4194304	Value	ValueOutput
EQ Band 4 Freq	0	4194304	Value	ValueOutput
EQ Band 4 Gain	0	4194304	Value	ValueOutput
EQ Insert	0	4194304	Value	ValueOutput
Meter Mode	0	4194304	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
Select Program Delta	0	0	Delta	TextOutput
Select Previous Program	0	0	Trig	TextOutput
Select Next Program	0	0	Trig	TextOutput
