Scope
Manufacturer	Model
Lectric Panda LLC	com.lectricpanda.Nostromo

Remotable	Min	Max	Input type	Output type
Osc 1 Voices	0	8	Value	ValueOutput
Osc 1 Keyboard Tracking	0	4194304	Value	ValueOutput
Osc 1 Octave	0	8	Value	ValueOutput
Osc 1 Semitone	0	48	Value	ValueOutput
Osc 1 Cents	0	200	Value	ValueOutput
Osc 1 Voice Detune	0	4194304	Value	ValueOutput
Osc 1 Key Sync	0	1	Toggle	ValueOutput
Osc 1 Wave Crossfade	0	1	Toggle	ValueOutput
Osc 1 Pan	0	4194304	Value	ValueOutput
Osc 1 Voice Spread Width	0	4194304	Value	ValueOutput
Osc 1 Level	0	4194304	Value	ValueOutput
Osc 1 Filter Select	0	4194304	Value	ValueOutput
Osc 1 Wave 1	0	2274	Value	ValueOutput
Osc 1 Wave 2	0	2274	Value	ValueOutput
Osc 1 Wave 3	0	2274	Value	ValueOutput
Osc 1 Wave 4	0	2274	Value	ValueOutput
Osc 1 Wave 5	0	2274	Value	ValueOutput
Osc 1 Wave 6	0	2274	Value	ValueOutput
Osc 1 Wave 7	0	2274	Value	ValueOutput
Osc 1 Wave 8	0	2274	Value	ValueOutput
Osc 1 Wave 9	0	2274	Value	ValueOutput
Osc 2 Voices	0	8	Value	ValueOutput
Osc 2 Keyboard Tracking	0	4194304	Value	ValueOutput
Osc 2 Octave	0	8	Value	ValueOutput
Osc 2 Semitone	0	48	Value	ValueOutput
Osc 2 Cents	0	200	Value	ValueOutput
Osc 2 Voice Detune	0	4194304	Value	ValueOutput
Osc 2 Key Sync	0	1	Toggle	ValueOutput
Osc 2 Wave Crossfade	0	1	Toggle	ValueOutput
Osc 2 Pan	0	4194304	Value	ValueOutput
Osc 2 Voice Spread Width	0	4194304	Value	ValueOutput
Osc 2 Level	0	4194304	Value	ValueOutput
Osc 2 Filter Select	0	4194304	Value	ValueOutput
Osc 2 Wave 1	0	2274	Value	ValueOutput
Osc 2 Wave 2	0	2274	Value	ValueOutput
Osc 2 Wave 3	0	2274	Value	ValueOutput
Osc 2 Wave 4	0	2274	Value	ValueOutput
Osc 2 Wave 5	0	2274	Value	ValueOutput
Osc 2 Wave 6	0	2274	Value	ValueOutput
Osc 2 Wave 7	0	2274	Value	ValueOutput
Osc 2 Wave 8	0	2274	Value	ValueOutput
Osc 2 Wave 9	0	2274	Value	ValueOutput
Osc 3 Voices	0	8	Value	ValueOutput
Osc 3 Keyboard Tracking	0	4194304	Value	ValueOutput
Osc 3 Octave	0	8	Value	ValueOutput
