Scope
Manufacturer	Model
Jiggery Pokery	com.jiggerypokery.Melodic

Remotable	Min	Max	Input type	Output type
Volume	0	4194304	Value	ValueOutput
Tremolo On	0	1	Toggle	ValueOutput
Tremolo Speed	0	4194304	Value	ValueOutput
Tremolo Depth	0	4194304	Value	ValueOutput
Bass	0	4194304	Value	ValueOutput
Treble	0	4194304	Value	ValueOutput
Decay	0	4194304	Value	ValueOutput
Key Off	0	4194304	Value	ValueOutput
Key Off Decay	0	4194304	Value	ValueOutput
Drive	0	4194304	Value	ValueOutput
Spring	0	4194304	Value	ValueOutput
Mod Wheel	0	127	Value	ValueOutput
Breath Control	0	127	Value	ValueOutput
Expression	0	127	Value	ValueOutput
Sustain Pedal	0	127	Value	ValueOutput
Aftertouch	0	127	Value	ValueOutput
Pitch Bend	-8192	8191	Value	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
