Scope
Manufacturer	Model
Red Rock Sound	ru.redrocksound.C1L1

Remotable	Min	Max	Input type	Output type
Enabled	0	2	Value	ValueOutput
Filter	0	4194304	Value	ValueOutput
Ratio	0	4194304	Value	ValueOutput
Attack	0	4194304	Value	ValueOutput
Release	0	4194304	Value	ValueOutput
Makeup	0	4194304	Value	ValueOutput
Knee	0	4194304	Value	ValueOutput
Threshold	0	4194304	Value	ValueOutput
Limiter Threshold	0	4194304	Value	ValueOutput
Dry/Mix	0	4194304	Value	ValueOutput
Mid Scoop	0	4194304	Value	ValueOutput
Stereo Mode	0	6	Value	ValueOutput
Switch Filter	0	1	Toggle	ValueOutput
Switch Input/GR	0	1	Toggle	ValueOutput
Switch Attack Mode	0	1	Toggle	ValueOutput
Device Name	0	0	-	TextOutput
Patch Name	0	0	-	TextOutput
Select Patch Delta	0	0	Delta	TextOutput
Select Previous Patch	0	0	Trig	TextOutput
Select Next Patch	0	0	Trig	TextOutput
